ERR10671864-Aligned.out.sorted.bam ERR10671865-Aligned.out.sorted.bam ERR10671866-Aligned.out.sorted.bam ERR10671867-Aligned.out.sorted.bam SRR7405885-Aligned.out.sorted.bam
PP4_RS01875 3544 3470 3524 0 13132
PP4_RS01880 347 286 320 0 407
PP4_RS01885 153 147 147 0 306
PP4_RS01890 53 58 69 0 167
PP4_RS01895 120 116 116 0 292
PP4_RS01900 63 67 72 0 171
PP4_RS01905 59 52 55 0 74
PP4_RS01910 106 91 116 0 292
PP4_RS01915 176 159 169 0 324
PP4_RS01920 39 54 45 0 73
PP4_RS01925 0 1 1 0 2
PP4_RS01930 24 22 8 0 19
PP4_RS01935 9 7 5 0 10
PP4_RS01940 48 44 47 0 12
PP4_RS01945 21 22 15 0 113
PP4_RS01950 116 141 119 0 283
PP4_RS01955 742 732 721 0 859
PP4_RS01960 5 7 11 0 1
PP4_RS01965 1658 1681 1666 0 1499
PP4_RS01970 82 78 91 0 314
PP4_RS01975 39 42 35 0 38
PP4_RS01980 70 44 72 0 124
PP4_RS01985 9 3 6 0 5
PP4_RS01990 4 7 2 0 0
PP4_RS01995 76 77 65 0 697
PP4_RS02000 8 7 7 0 56
PP4_RS02005 35 30 37 0 10
PP4_RS02010 6 2 3 0 3
PP4_RS02015 47 47 40 0 4
PP4_RS02020 408 401 364 0 277
PP4_RS02025 5217 5339 5368 0 1735
PP4_RS02030 22 23 26 0 36
PP4_RS02035 572 589 606 0 221
PP4_RS02040 14 9 12 0 47
PP4_RS02045 2 5 10 0 996
PP4_RS02055 66 57 56 0 263
PP4_RS02060 61 62 65 0 334
PP4_RS02065 12 18 17 0 40
PP4_RS02070 40 38 27 0 324
PP4_RS02075 55 62 68 0 1054
PP4_RS02080 12 10 8 0 0
PP4_RS02085 421 405 468 0 27
PP4_RS02090 1831 1794 1708 0 207
PP4_RS02095 0 0 0 0 0
PP4_RS02100 0 0 0 0 0
PP4_RS02105 12 24 15 0 34
PP4_RS02110 21 11 12 0 40
PP4_RS02115 0 0 0 0 0
PP4_RS02120 1 0 0 0 0
PP4_RS02125 256 226 243 0 708
PP4_RS02130 3769 3820 3739 0 7924
PP4_RS02135 378 377 352 0 1162
PP4_RS02140 989 1013 1056 0 2400
PP4_RS02145 154 153 141 0 148
PP4_RS02150 90 82 110 0 297
PP4_RS02155 46 56 52 0 76
PP4_RS02160 12 6 10 0 2
PP4_RS02165 33 38 33 0 66
PP4_RS02170 963 1031 961 0 4760
PP4_RS02175 369 371 382 0 2772
PP4_RS02180 6792 6740 6541 0 15625
PP4_RS02185 103 116 104 0 268
PP4_RS02190 59 66 55 0 153
PP4_RS02195 31 27 33 0 96
PP4_RS02200 96 67 67 0 257
PP4_RS02205 131 101 118 0 231
PP4_RS02210 600 607 571 0 828
PP4_RS02215 663 709 698 0 1613
PP4_RS02220 107 116 131 0 103
PP4_RS02225 66 64 37 0 21
PP4_RS02230 40 38 30 0 25
PP4_RS02235 58 48 50 0 51
PP4_RS02240 158 132 101 0 83
PP4_RS02245 100 100 124 0 71
PP4_RS02250 142 134 127 0 266
PP4_RS02255 471 440 433 0 254
PP4_RS02260 47 41 49 0 48
PP4_RS02265 48 38 36 0 75
PP4_RS02270 250 253 264 0 311
PP4_RS02275 57 51 45 0 51
PP4_RS02280 278 279 262 0 143
PP4_RS02285 89 71 85 0 6
PP4_RS02290 30 48 35 0 44
PP4_RS02295 124 90 95 0 106
PP4_RS02300 111 110 132 0 177
PP4_RS02305 25 22 17 0 13
PP4_RS02310 141 139 142 0 38
PP4_RS02315 48 58 51 0 301
PP4_RS02320 52 48 43 0 32
PP4_RS02325 55 64 56 0 359
PP4_RS02330 461 418 460 0 306
PP4_RS02335 45 42 33 0 77
PP4_RS02340 35 39 32 0 8
PP4_RS02345 250 254 217 0 264
PP4_RS02350 386 372 378 0 587
PP4_RS02355 71 75 71 0 216
PP4_RS02360 34 39 41 0 15
PP4_RS02365 433 522 515 0 309
PP4_RS02370 288 325 319 0 122
PP4_RS02375 13 22 9 0 12
PP4_RS02380 2 14 11 0 1
PP4_RS02385 2 4 4 0 0
PP4_RS02390 0 1 0 0 0
PP4_RS02395 0 0 0 0 0
PP4_RS02400 14 17 15 0 7
PP4_RS02405 3 2 7 0 0
PP4_RS02410 44 38 42 0 32
PP4_RS02415 284 315 273 0 66
PP4_RS02420 15 13 10 0 7
PP4_RS02425 51 49 44 0 3
PP4_RS02430 2195 2178 2157 0 219
PP4_RS02435 117 146 139 0 10
PP4_RS02440 862 875 907 0 892
PP4_RS02445 1372 1351 1378 0 989
PP4_RS02450 1643 1594 1701 0 1691
PP4_RS02455 2007 2092 2071 0 2608
PP4_RS02460 1184 1217 1285 0 2012
PP4_RS02465 1507 1564 1517 0 1551
PP4_RS02470 3849 4033 4109 0 5999
PP4_RS02475 5809 5763 5600 0 5999
PP4_RS02480 2809 2787 2711 0 2397
PP4_RS02485 2286 2251 2244 0 2045
PP4_RS02490 8353 8290 8134 0 5371
PP4_RS02495 3770 3664 3706 0 2806
PP4_RS02500 2306 2288 2275 0 1148
PP4_RS02505 2655 2742 2766 0 1853
PP4_RS02510 1717 1711 1694 0 999
PP4_RS02515 615 630 627 0 195
PP4_RS02520 2151 2206 2122 0 2066
PP4_RS02525 915 925 981 0 279
PP4_RS02530 714 641 636 0 476
PP4_RS02535 2096 2135 2062 0 1417
PP4_RS02540 1087 1057 1118 0 703
PP4_RS02545 132 124 126 0 38
PP4_RS02550 402 371 397 0 189
PP4_RS02555 654 618 659 0 797
PP4_RS02560 583 589 524 0 346
PP4_RS02565 2249 2132 2135 0 1728
PP4_RS02570 528 462 494 0 824
PP4_RS02575 2625 2740 2742 0 2001
PP4_RS02580 2267 2206 2219 0 1892
PP4_RS02585 759 758 768 0 491
PP4_RS02590 1127 1184 1133 0 1110
PP4_RS02595 220 212 199 0 33
PP4_RS02600 1039 1051 1054 0 769
PP4_RS02605 3675 3559 3698 0 3652
PP4_RS02610 399 426 357 0 359
PP4_RS02615 1434 1453 1454 0 1500
PP4_RS02620 813 841 866 0 950
PP4_RS02625 1273 1297 1355 0 2364
PP4_RS02630 2074 2170 2183 0 4067
PP4_RS02635 841 857 796 0 1195
PP4_RS02640 85 88 78 0 39
PP4_RS02645 185 196 181 0 448
PP4_RS02650 142 154 146 0 408
PP4_RS02655 249 275 237 0 549
PP4_RS02660 618 608 592 0 1296
PP4_RS02665 1 1 0 0 0
PP4_RS02670 0 0 0 0 0
PP4_RS02675 1 0 2 0 3
PP4_RS02680 0 0 4 0 0
PP4_RS02690 1735 1731 1781 0 3591
PP4_RS02695 230 245 239 0 260
PP4_RS02700 42 52 42 0 11
PP4_RS02705 50 39 57 0 14
PP4_RS02710 133 99 104 0 151
PP4_RS02715 90 103 90 0 94
PP4_RS02720 2 7 3 0 0
PP4_RS02725 16 16 9 0 6
PP4_RS02730 154 157 147 0 95
PP4_RS02735 30 31 29 0 22
PP4_RS02740 1 0 0 0 0
PP4_RS02745 0 1 0 0 0
PP4_RS02750 0 0 0 0 0
PP4_RS02755 96 72 79 0 251
PP4_RS02760 70 53 60 0 20
PP4_RS02765 1 0 0 0 0
PP4_RS02770 38 23 23 0 0
PP4_RS02775 5750 5812 5822 0 568
PP4_RS02780 45 41 30 0 25
PP4_RS02785 18 21 23 0 14
PP4_RS02790 5 7 12 0 19
PP4_RS02795 19 14 6 0 3
PP4_RS02800 1 5 3 0 0
PP4_RS02805 0 0 0 0 0
PP4_RS02810 343 276 307 0 353
PP4_RS02815 32 23 26 0 58
PP4_RS02820 16 17 14 0 76
PP4_RS02825 37 30 39 0 209
PP4_RS02830 63 61 56 0 108
PP4_RS02835 208 203 196 0 284
PP4_RS02840 441 448 406 0 825
PP4_RS02845 419 516 481 0 824
PP4_RS02850 268 243 246 0 249
PP4_RS02855 61 73 65 0 139
PP4_RS02860 78 84 85 0 180
PP4_RS02865 31 31 17 0 18
PP4_RS02870 82 80 81 0 135
PP4_RS02875 13 12 15 0 0
PP4_RS02880 0 0 1 0 0
PP4_RS02885 38 38 29 0 15
PP4_RS02890 495 465 486 0 1163
PP4_RS02895 99 121 110 0 39
PP4_RS02900 65 64 50 0 46
PP4_RS02905 88 98 100 0 111
PP4_RS02910 0 0 0 0 0
PP4_RS02915 0 0 0 0 0
PP4_RS02920 0 0 1 0 0
PP4_RS02925 20 19 13 0 12
PP4_RS02930 11 8 7 0 8
PP4_RS02935 82 75 75 0 31
PP4_RS02940 0 0 0 0 0
PP4_RS02950 0 0 0 0 0
PP4_RS02955 0 0 0 0 0
PP4_RS02965 0 0 0 0 0
PP4_RS02970 0 0 0 0 0
PP4_RS02975 0 0 0 0 0
PP4_RS02985 0 0 0 0 0
PP4_RS02990 0 0 0 0 0
PP4_RS02995 0 0 0 0 0
PP4_RS03000 0 0 0 0 0
PP4_RS03005 0 0 0 0 0
PP4_RS03010 0 0 0 0 0
PP4_RS03015 0 0 0 0 0
PP4_RS03020 0 0 0 0 0
PP4_RS03025 0 0 0 0 0
PP4_RS03030 0 0 0 0 0
PP4_RS03035 0 0 0 0 0
PP4_RS03040 0 0 0 0 0
PP4_RS03045 0 0 0 0 0
PP4_RS03050 0 0 0 0 0
PP4_RS03055 0 0 0 0 0
PP4_RS03060 34 26 19 0 15
PP4_RS03070 0 0 0 0 1
PP4_RS03075 1 2 0 0 0
PP4_RS03080 0 0 0 0 0
PP4_RS03085 0 0 0 0 1
PP4_RS03090 0 0 0 0 0
PP4_RS03095 0 0 0 0 0
PP4_RS03100 0 0 0 0 0
PP4_RS03105 0 0 0 0 0
PP4_RS03110 0 0 0 0 0
PP4_RS03115 0 0 0 0 0
PP4_RS03120 3 1 2 0 1
PP4_RS03125 860 892 863 0 1279
PP4_RS03130 43 58 55 0 136
PP4_RS03135 46 55 62 0 439
PP4_RS03140 238 250 254 0 1203
PP4_RS03145 63 69 78 0 110
PP4_RS03150 161 145 162 0 375
PP4_RS03155 57 72 64 0 32
PP4_RS03160 5048 4923 4914 0 688
PP4_RS03165 125 110 102 0 69
PP4_RS03170 280 288 307 0 202
PP4_RS03175 89 93 87 0 36
PP4_RS03180 8 3 3 0 1
PP4_RS03185 285 275 275 0 109
PP4_RS03190 87 101 95 0 159
PP4_RS03195 21 19 14 0 12
PP4_RS03200 5 3 3 0 8
PP4_RS03205 4 5 3 0 13
